district,total,%,No qualifications,%,Highest level of qualification: Level 1 qualifications,%,Highest level of qualification: Level 2 qualifications,%,Highest level of qualification: Apprenticeship,%,Highest level of qualification: Level 3 qualifications,%,Highest level of qualification: Level 4 qualifications and above,%,Highest level of qualification: Other qualifications,%,Schoolchildren and full-time students: Age 16 to 17,%,Schoolchildren and full-time students: Age 18 and over,%,Full-time students: Age 18 to 74: Economically active: In employment,%,Full-time students: Age 18 to 74: Economically active: Unemployed,%,Full-time students: Age 18 to 74: Economically inactive,%
Swansea,197627,100,47316,23.9,24405,12.3,30216,15.3,8472,4.3,27507,13.9,51081,25.8,8630,4.4,4717,2.4,18548,9.4,5463,2.8,1409,0.7,11637,5.9
Neath Port Talbot,115175,100,35607,30.9,16557,14.4,18371,16,5856,5.1,12629,11,21636,18.8,4519,3.9,3091,2.7,3395,2.9,1333,1.2,256,0.2,1791,1.6
Bridgend,113890,100,32282,28.3,15932,14,18198,16,4748,4.2,12328,10.8,25699,22.6,4703,4.1,3060,2.7,3323,2.9,1335,1.2,249,0.2,1723,1.5
The Vale of Glamorgan,102504,100,20964,20.5,13210,12.9,17287,16.9,4287,4.2,12179,11.9,30527,29.8,4050,4,3132,3.1,3237,3.2,1279,1.2,221,0.2,1714,1.7
Cardiff,283115,100,58688,20.7,31039,11,36812,13,7882,2.8,43037,15.2,91522,32.3,14135,5,6723,2.4,36348,12.8,10530,3.7,2942,1,22832,8.1
"Rhondda, Cynon, Taff",190116,100,60403,31.8,26718,14.1,29749,15.6,6711,3.5,21714,11.4,37168,19.6,7653,4,5110,2.7,9863,5.2,3328,1.8,915,0.5,5575,2.9
Merthyr Tydfil,47842,100,16407,34.3,6832,14.3,7221,15.1,1755,3.7,4810,10.1,8493,17.8,2324,4.9,1371,2.9,1709,3.6,612,1.3,149,0.3,938,2
Caerphilly,143825,100,45102,31.4,21459,14.9,23361,16.2,5595,3.9,16154,11.2,26843,18.7,5311,3.7,4142,2.9,4371,3,1592,1.1,352,0.2,2394,1.7
Blaenau Gwent,57321,100,20662,36,9035,15.8,8879,15.5,2032,3.5,5644,9.8,8689,15.2,2380,4.2,1631,2.8,1636,2.9,562,1,169,0.3,894,1.6
Torfaen,73833,100,21329,28.9,11094,15,12052,16.3,3182,4.3,8267,11.2,14976,20.3,2933,4,2160,2.9,2127,2.9,920,1.2,188,0.3,1002,1.4
Monmouthshire,75080,100,15521,20.7,9446,12.6,11531,15.4,2924,3.9,8107,10.8,24839,33.1,2712,3.6,2343,3.1,1877,2.5,756,1,113,0.2,1000,1.3
Newport,116348,100,31454,27,16399,14.1,17834,15.3,4685,4,13203,11.3,27202,23.4,5571,4.8,3308,2.8,5903,5.1,2201,1.9,682,0.6,3001,2.6
