"district","total","%","Day-to-day activities limited a lot","%","Day-to-day activities limited a little","%","Day-to-day activities not limited","%","Day-to-day activities limited a lot: Age 16 to 64","%","Day-to-day activities limited a little: Age 16 to 64","%","Day-to-day activities not limited: Age 16 to 64","%","Very good health","%","Good health","%","Fair health","%","Bad health","%","Very bad health","%","Provides no unpaid care","%","Provides 1 to 19 hours unpaid care a week","%","Provides 20 to 49 hours unpaid care a week","%","Provides 50 or more hours unpaid care a week","%"
"Adur",61182,100.0,5592,9.1,6710,11.0,48880,79.9,2138,3.5,2876,4.7,32131,52.5,26107,42.7,22373,36.6,9181,15.0,2757,4.5,764,1.2,54233,88.6,4472,7.3,835,1.4,1642,2.7
"Arun",149518,100.0,13984,9.4,17505,11.7,118029,78.9,4684,3.1,6734,4.5,75418,50.4,62774,42.0,54975,36.8,23299,15.6,6608,4.4,1862,1.2,132964,88.9,10771,7.2,1976,1.3,3807,2.5
"Chichester",113794,100.0,8328,7.3,11555,10.2,93911,82.5,2622,2.3,4271,3.8,60374,53.1,54210,47.6,39771,34.9,14900,13.1,3822,3.4,1091,1.0,101307,89.0,8924,7.8,1195,1.1,2368,2.1
"Crawley",106597,100.0,7001,6.6,8701,8.2,90895,85.3,3266,3.1,4598,4.3,63217,59.3,50751,47.6,38279,35.9,12856,12.1,3679,3.5,1032,1.0,96695,90.7,6378,6.0,1418,1.3,2106,2.0
"Horsham",131301,100.0,7857,6.0,11550,8.8,111894,85.2,2724,2.1,4760,3.6,73704,56.1,66403,50.6,45684,34.8,14580,11.1,3560,2.7,1074,0.8,117659,89.6,10133,7.7,1233,0.9,2276,1.7
"Mid Sussex",139860,100.0,8084,5.8,11737,8.4,120039,85.8,2905,2.1,4914,3.5,79629,56.9,72448,51.8,47524,34.0,14938,10.7,3864,2.8,1086,0.8,125878,90.0,10375,7.4,1306,0.9,2301,1.6
"Worthing",104640,100.0,9310,8.9,10966,10.5,84364,80.6,3595,3.4,4683,4.5,56119,53.6,46272,44.2,37777,36.1,15082,14.4,4355,4.2,1154,1.1,93761,89.6,7268,6.9,1319,1.3,2292,2.2
"Bath and North East Somerset",176016,100.0,12267,7.0,16028,9.1,147721,83.9,4505,2.6,7200,4.1,102917,58.5,88882,50.5,58849,33.4,20856,11.8,5831,3.3,1598,0.9,158431,90.0,12396,7.0,1989,1.1,3200,1.8
"Bournemouth",183491,100.0,15858,8.6,18289,10.0,149344,81.4,6829,3.7,8872,4.8,107212,58.4,84955,46.3,63260,34.5,24866,13.6,8009,4.4,2401,1.3,166166,90.6,11280,6.1,2260,1.2,3785,2.1
"Bristol, City of",428234,100.0,34570,8.1,37154,8.7,356510,83.3,15908,3.7,20499,4.8,257374,60.1,209024,48.8,143283,33.5,52446,12.2,18056,4.2,5425,1.3,388096,90.6,25709,6.0,5253,1.2,9176,2.1
"Cornwall",532273,100.0,53166,10.0,60549,11.4,418558,78.6,22002,4.1,27627,5.2,277462,52.1,240759,45.2,178805,33.6,79181,14.9,25907,4.9,7621,1.4,469081,88.1,39052,7.3,8284,1.6,15856,3.0
"Isles of Scilly",2203,100.0,108,4.9,200,9.1,1895,86.0,27,1.2,68,3.1,1256,57.0,1135,51.5,754,34.2,248,11.3,53,2.4,13,0.6,1983,90.0,165,7.5,20,0.9,35,1.6
"North Somerset",202566,100.0,17335,8.6,21405,10.6,163826,80.9,6670,3.3,9380,4.6,107231,52.9,93803,46.3,70435,34.8,27670,13.7,8276,4.1,2382,1.2,180253,89.0,15172,7.5,2577,1.3,4564,2.3
"Plymouth",256384,100.0,25548,10.0,26644,10.4,204192,79.6,12116,4.7,14197,5.5,143474,56.0,117976,46.0,85956,33.5,35756,13.9,13012,5.1,3684,1.4,229137,89.4,15624,6.1,4057,1.6,7566,3.0
"Poole",147645,100.0,12040,8.2,15168,10.3,120437,81.6,4543,3.1,6526,4.4,80759,54.7,68689,46.5,51486,34.9,19849,13.4,5841,4.0,1780,1.2,131433,89.0,10761,7.3,1846,1.3,3605,2.4
"South Gloucestershire",262767,100.0,17842,6.8,23072,8.8,221853,84.4,6667,2.5,10748,4.1,151013,57.5,129141,49.1,91675,34.9,30940,11.8,8556,3.3,2455,0.9,235128,89.5,19279,7.3,2976,1.1,5384,2.0
"Swindon",209156,100.0,14638,7.0,17664,8.4,176854,84.6,6546,3.1,9226,4.4,123148,58.9,100931,48.3,73591,35.2,25056,12.0,7556,3.6,2022,1.0,189676,90.7,12431,5.9,2680,1.3,4369,2.1
